concentration,E/V
2e-05,-7.13243e-05
2e-05,-4.9682e-05
2e-05,-4.0695e-05
2e-05,-3.49202e-05
2e-05,-3.54624e-05
2e-05,-3.23057e-05
2e-05,-2.97826e-05
2e-05,-2.77105e-05
2e-05,-2.64239e-05
2e-05,-2.49136e-05
2e-05,-2.35879e-05
2e-05,-2.24161e-05
2e-05,-2.13561e-05
2e-05,-2.04049e-05
2e-05,-1.95435e-05
2e-05,-1.87455e-05
2e-05,-1.80118e-05
2e-05,-1.73341e-05
2e-05,-1.67002e-05
2e-05,-1.61113e-05
2e-05,-1.55599e-05
2e-05,-1.50392e-05
2e-05,-1.4553e-05
2e-05,-1.40952e-05
2e-05,-1.36694e-05
2e-05,-1.3251e-05
2e-05,-1.28474e-05
2e-05,-1.24578e-05
2e-05,-1.20983e-05
2e-05,-1.18204e-05
2e-05,-1.15439e-05
2e-05,-1.10567e-05
2e-05,-1.08137e-05
2e-05,-1.05234e-05
2e-05,-1.02336e-05
2e-05,-9.95664e-06
2e-05,-9.69321e-06
2e-05,-9.43887e-06
2e-05,-9.19245e-06
2e-05,-8.95991e-06
2e-05,-8.74814e-06
2e-05,-8.53321e-06
2e-05,-8.30997e-06
2e-05,-8.11629e-06
2e-05,-7.91209e-06
2e-05,-7.71319e-06
2e-05,-7.50834e-06
2e-05,-7.29671e-06
2e-05,-7.10738e-06
2e-05,-6.93613e-06
2e-05,-6.77194e-06
2e-05,-6.63113e-06
2e-05,-6.5147e-06
2e-05,-6.31843e-06
2e-05,-6.14654e-06
2e-05,-5.97031e-06
2e-05,-5.69978e-06
2e-05,-5.61977e-06
2e-05,-5.49887e-06
2e-05,-5.43716e-06
2e-05,-5.22767e-06
2e-05,-5.08412e-06
2e-05,-4.95621e-06
2e-05,-4.83431e-06
2e-05,-4.70222e-06
2e-05,-4.5765e-06
2e-05,-4.45028e-06
2e-05,-4.32721e-06
2e-05,-4.20441e-06
2e-05,-4.08322e-06
2e-05,-3.96992e-06
2e-05,-3.85645e-06
2e-05,-3.74248e-06
2e-05,-3.67629e-06
2e-05,-3.5645e-06
2e-05,-3.45511e-06
2e-05,-3.34636e-06
2e-05,-3.23767e-06
2e-05,-3.13087e-06
2e-05,-3.02418e-06
2e-05,-2.91811e-06
2e-05,-2.81286e-06
2e-05,-2.70775e-06
2e-05,-2.60394e-06
2e-05,-2.50371e-06
2e-05,-2.39922e-06
2e-05,-2.29708e-06
2e-05,-2.19329e-06
2e-05,-2.09022e-06
2e-05,-1.98878e-06
2e-05,-1.88705e-06
2e-05,-1.7856e-06
2e-05,-1.68574e-06
2e-05,-1.58588e-06
2e-05,-1.48847e-06
2e-05,-1.39156e-06
2e-05,-1.29598e-06
2e-05,-1.20148e-06
2e-05,-1.10781e-06
2e-05,-1.01807e-06
2e-05,-9.29217e-07
2e-05,-8.43061e-07
2e-05,-7.55897e-07
2e-05,-6.73766e-07
2e-05,-5.93349e-07
2e-05,-5.14737e-07
2e-05,-4.37902e-07
2e-05,-3.65617e-07
2e-05,-2.93375e-07
2e-05,-2.23084e-07
2e-05,-1.5609e-07
2e-05,-9.39929e-08
2e-05,-2.52034e-08
2e-05,3.75033e-08
2e-05,1.00867e-07
2e-05,1.60216e-07
2e-05,2.16654e-07
2e-05,2.79368e-07
2e-05,3.37543e-07
2e-05,3.95615e-07
2e-05,4.55114e-07
2e-05,5.10463e-07
2e-05,5.68977e-07
2e-05,6.24324e-07
2e-05,6.7722e-07
2e-05,7.33411e-07
2e-05,7.88728e-07
2e-05,8.45233e-07
2e-05,9.02973e-07
2e-05,9.58695e-07
2e-05,1.01687e-06
2e-05,1.07484e-06
2e-05,1.13438e-06
2e-05,1.19302e-06
2e-05,1.25338e-06
2e-05,1.31274e-06
2e-05,1.37431e-06
2e-05,1.43591e-06
2e-05,1.4972e-06
2e-05,1.55989e-06
2e-05,1.62324e-06
2e-05,1.68744e-06
2e-05,1.75216e-06
2e-05,1.81517e-06
2e-05,1.85327e-06
2e-05,1.91734e-06
2e-05,1.98941e-06
2e-05,2.05035e-06
2e-05,2.12104e-06
2e-05,2.1987e-06
2e-05,2.29589e-06
2e-05,2.37505e-06
2e-05,2.44827e-06
2e-05,2.51381e-06
2e-05,2.58301e-06
2e-05,2.65474e-06
2e-05,2.72704e-06
2e-05,2.79996e-06
2e-05,2.87056e-06
2e-05,2.94279e-06
2e-05,3.01025e-06
2e-05,3.06292e-06
2e-05,3.13006e-06
2e-05,3.22125e-06
2e-05,3.31132e-06
2e-05,3.39637e-06
2e-05,3.48489e-06
2e-05,3.58438e-06
2e-05,3.65815e-06
2e-05,3.73884e-06
2e-05,3.81928e-06
2e-05,3.90433e-06
2e-05,3.99151e-06
2e-05,4.07959e-06
2e-05,4.17139e-06
2e-05,4.26589e-06
2e-05,4.36022e-06
2e-05,4.45507e-06
2e-05,4.55057e-06
2e-05,4.64809e-06
2e-05,4.73721e-06
2e-05,4.80207e-06
2e-05,4.93688e-06
2e-05,5.05642e-06
2e-05,5.17198e-06
2e-05,5.2949e-06
2e-05,5.42347e-06
2e-05,5.59507e-06
2e-05,5.69399e-06
2e-05,5.77427e-06
2e-05,5.89229e-06
2e-05,6.03769e-06
2e-05,6.18159e-06
2e-05,6.31093e-06
2e-05,6.44133e-06
2e-05,6.5974e-06
2e-05,6.71048e-06
2e-05,6.8063e-06
2e-05,6.9757e-06
2e-05,7.13701e-06
2e-05,7.29253e-06
2e-05,7.43969e-06
2e-05,7.58523e-06
2e-05,7.73612e-06
2e-05,7.87198e-06
2e-05,8.01281e-06
2e-05,8.16264e-06
2e-05,8.3054e-06
2e-05,8.44796e-06
2e-05,8.5809e-06
2e-05,8.72746e-06
2e-05,8.87143e-06
2e-05,9.00129e-06
2e-05,9.15001e-06
2e-05,9.30529e-06
2e-05,9.45846e-06
2e-05,9.61749e-06
2e-05,9.77166e-06
2e-05,9.92587e-06
2e-05,1.00839e-05
2e-05,1.02475e-05
2e-05,1.04132e-05
2e-05,1.05849e-05
2e-05,1.07569e-05
2e-05,1.09312e-05
2e-05,1.11086e-05
2e-05,1.13005e-05
2e-05,1.14987e-05
2e-05,1.16882e-05
2e-05,1.18795e-05
2e-05,1.20633e-05
2e-05,1.2273e-05
2e-05,1.24814e-05
